text_max_length,default_value_str,unit,classification_choice_descriptor_type,default_value_bool,selection_options,selection_multiple,selection_multiple_n_min,selection_multiple_n_max,selection_default_options,numeric_min,numeric_max,numeric_distribution,numeric_distribution_params,default_value_num,created_at,uuid,tags,name,name_de,name_en,description,kb_module_name
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703848+00:00,ff1f2f7d-99eb-4028-99bc-2177d98d7899,,preprocedure_physical_assessment_time_value,unknown,unknown,Uhrzeitgenauer Zeitpunkt der körperlichen Untersuchung vor der Sedierung.,lx_descriptors
255,unknown,beats_per_minute,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703876+00:00,065e14c2-3e49-4ed5-864b-3ae6b956553e,,preprocedure_heart_rate_value,unknown,unknown,Herzfrequenz bei der präprozeduralen körperlichen Untersuchung.,lx_descriptors
255,unknown,millimeter_mercury,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703902+00:00,584ec742-774d-40f2-be0e-e3eea80d3102,,preprocedure_systolic_blood_pressure_value,unknown,unknown,Systolischer Blutdruck bei der präprozeduralen körperlichen Untersuchung.,lx_descriptors
255,unknown,millimeter_mercury,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703932+00:00,dfb77264-3eb1-4111-a5e3-fcbc1e075c96,,preprocedure_diastolic_blood_pressure_value,unknown,unknown,Diastolischer Blutdruck bei der präprozeduralen körperlichen Untersuchung.,lx_descriptors
255,unknown,percent,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,100.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703961+00:00,c74a35fc-acd7-486b-939f-0ea1a1e274c6,,preprocedure_oxygen_saturation_value,unknown,unknown,Pulsoxymetrische Sauerstoffsättigung bei der präprozeduralen körperlichen Untersuchung.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.703985+00:00,5e5944b6-7b79-4d05-8783-01bc5707643b,,last_oral_intake_time_value,unknown,unknown,Dokumentierter Zeitpunkt der letzten Nahrungs- oder Flüssigkeitsaufnahme.,lx_descriptors
128,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.704010+00:00,98817ca4-aecd-4d28-88d8-1edf534f9653,,last_oral_intake_type_value,unknown,unknown,Dokumentierte Art der letzten Nahrungs- oder Flüssigkeitsaufnahme.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.705488+00:00,aed9686f-718b-4756-b8b5-a6109eafea33,,endoscopy_team_timeout_time_value,unknown,unknown,Uhrzeitgenauer Zeitpunkt des Team-Time-outs unmittelbar vor dem endoskopischen Eingriff.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.705527+00:00,0a4b5707-1bbd-441f-8971-5db2fa27f820,,endoscopy_sign_out_time_value,unknown,unknown,Uhrzeitgenauer Zeitpunkt des Sign-outs unmittelbar nach dem endoskopischen Eingriff.,lx_descriptors
255,unknown,milligram,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,2000.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709806+00:00,99cdd2c3-bc26-4cf7-9a04-866f775766d4,,propofol_dose_mg_value,unknown,unknown,Tatsächlich verabreichte Propofol-Dosis in Milligramm.,lx_descriptors
255,unknown,milligram,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,100.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709847+00:00,85316b63-64fb-4771-b56c-85b61994147d,,midazolam_dose_mg_value,unknown,unknown,Tatsächlich verabreichte Midazolam-Dosis in Milligramm.,lx_descriptors
255,unknown,microgram,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,2000.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709880+00:00,e47aa10c-cdb6-455f-aef0-16dc12fd3072,,fentanyl_dose_microgram_value,unknown,unknown,Tatsächlich verabreichte Fentanyl-Dosis in Mikrogramm.,lx_descriptors
255,unknown,milligram,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,500.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709914+00:00,f232f88f-b91b-4bf9-85c1-d94dfff7afa6,,pethidine_dose_mg_value,unknown,unknown,Tatsächlich verabreichte Pethidin-Dosis in Milligramm.,lx_descriptors
255,unknown,milligram,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,200.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709949+00:00,ca607b49-61d6-49e8-a07f-aaf33f0f1bab,,butylscopolamine_dose_mg_value,unknown,unknown,Tatsächlich verabreichte Butylscopolamin-Dosis in Milligramm.,lx_descriptors
255,unknown,milliliter_per_hour,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.709976+00:00,d061c699-02c3-49c4-863c-88f5d405adb5,,medication_infusion_volumetric_flow_rate_value,unknown,unknown,Tatsächlich eingestellte volumetrische Flussrate einer Medikamenteninfusion gemäß der DGVS-Anforderung zur Dokumentation von Dosierung und Flussrate bzw. Einzelboli.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715761+00:00,265d8f06-76b5-47a6-aafc-64d1b4989136,,medication_administration_time_value,unknown,unknown,"Zeitpunkt der Medikamentengabe als lokale Uhrzeit oder ISO-8601-Zeitangabe; erforderlich für die zeitabhängige Sedierungsdokumentation nach AWMF 021-014, Empfehlung 5.10.",lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715803+00:00,e14d0f93-6cd7-4d40-bcb3-89a4939e69a5,,sedation_monitoring_time_value,unknown,unknown,Zeitpunkt der Vitalparametermessung als lokale Uhrzeit oder ISO-8601-Zeitangabe.,lx_descriptors
255,unknown,beats_per_minute,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,300.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715833+00:00,8626e488-31bb-44e3-863a-5baaec8bd670,,sedation_heart_rate_value,unknown,unknown,Zum dokumentierten Zeitpunkt gemessene Herzfrequenz.,lx_descriptors
255,unknown,millimeter_mercury,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,350.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715861+00:00,146c3fef-8303-4905-9ac0-bb707ccc26c3,,sedation_systolic_blood_pressure_value,unknown,unknown,Zum dokumentierten Zeitpunkt gemessener systolischer Blutdruck.,lx_descriptors
255,unknown,millimeter_mercury,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,250.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715885+00:00,f79cb5d5-72dd-453c-b015-22ac25864ab6,,sedation_diastolic_blood_pressure_value,unknown,unknown,Zum dokumentierten Zeitpunkt gemessener diastolischer Blutdruck.,lx_descriptors
255,unknown,percent,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,100.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715910+00:00,ce64f47b-5535-4b5a-85c2-5dbbc2bf3683,,sedation_oxygen_saturation_value,unknown,unknown,Zum dokumentierten Zeitpunkt pulsoxymetrisch gemessene Sauerstoffsättigung.,lx_descriptors
255,unknown,liters_per_minute,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,30.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715943+00:00,08b0fb01-6627-4b4f-a64c-35d43cf531cb,,supplemental_oxygen_flow_rate_value,unknown,unknown,Dokumentierte Sauerstoffflussrate.,lx_descriptors
255,unknown,milliliter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,10000.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715970+00:00,d3e460ee-32bc-4b9a-a255-62e31a3ba405,,intravenous_fluid_volume_value,unknown,unknown,Verabreichtes Volumen der intravenösen Flüssigkeit.,lx_descriptors
32,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.715995+00:00,4d9cdbdd-7857-4cf0-be96-50026d8a6817,,intravenous_fluid_administration_time_value,unknown,unknown,Zeitpunkt der intravenösen Flüssigkeitsgabe als lokale Uhrzeit oder ISO-8601-Zeitangabe.,lx_descriptors
255,unknown,minutes,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},0.0,180.0,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-09-04 06:36:56.717258+00:00,a8c601ed-cd1e-4ece-8bb5-a4c9b9efc32a,,minutes_numeric_value,Zeitwert (Minuten),Time value (minutes),Numerischer Zeitwert in Minuten.,lx_descriptors
