created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,abbreviation,unit_types
2026-09-04 06:36:56.675128+00:00,f8514d23-678b-4444-894c-b7c49edb2477,,miligram per liter,miligramm pro Liter,miligram per liter,"miligrams per liter, a unit of measurement for concentration in blood.",lx_units,mg/L,
2026-09-04 06:36:56.675145+00:00,129542e4-2962-4b49-b8e9-bfe63403abe8,,x 10^9 per liter,x 10^9 pro Liter,x 10^9 per liter,"Number of cells per liter, often used for blood cell counts.",lx_units,x 10^9/L,
2026-09-04 06:36:56.675162+00:00,54e61774-eacc-47e9-9aff-9cbd5663ba47,,units per liter,units pro Liter,units per liter,unknown,lx_units,U/l,
2026-09-04 06:36:56.675179+00:00,cccb820f-5cc5-4946-b835-9c9d68ccfe41,,microinternational units per mililiter,Mikro-Internationale Einheiten pro Mililiter,micro-international units per mililiter,unknown,lx_units,µU/ml,
2026-09-04 06:36:56.676564+00:00,4ee4c10f-554e-4703-af58-e65bb4a56571,,liters-per-minute,Liter pro Minute,Liters per Minute,liters per minute,lx_units,l/min,
2026-09-04 06:36:56.676595+00:00,6d8e63fa-daea-4278-a85a-1c9904b8847c,,kilowatt-hours,Kilowattstunden,Kilowatt-hours,kilowatt-hours,lx_units,kWh,
2026-09-04 06:36:56.678758+00:00,3dcecf07-dfa9-45e8-bcfa-db0d512641cd,,milimeter,milimeter,milimeter,milimeters,lx_units,mm,
2026-09-04 06:36:56.678790+00:00,82954330-dac8-469b-bd04-7f4c7d4445e6,,centimeter,Zentimeter,Centimeter,centimeters,lx_units,cm,
2026-09-04 06:36:56.678812+00:00,b607d85a-8c81-4da0-803a-adc5e984f337,,meter,Meter,Meter,meters,lx_units,m,
2026-09-04 06:36:56.678836+00:00,abaa64b9-625b-4df4-8c97-6153f972018e,,kilometer,Kilometer,Kilometer,kilometers,lx_units,km,
2026-09-04 06:36:56.681015+00:00,de344d69-2fd1-4b73-9dd4-be90b0a3bb8a,,unknown,Keine Einheit angegeben,No unit specified,Sentinel for descriptors to which no physical unit applies or whose unit has not been specified. Numeric descriptors should reference a concrete unit instead.,lx_units,unknown,
2026-09-04 06:36:56.681052+00:00,ab27c4d8-f94a-4481-88f1-5709f8a72a18,,percent,Prozent,percent,unknown,lx_units,%,
2026-09-04 06:36:56.681075+00:00,ab3c4fe9-5d4d-4adf-bad3-1d8a9eb4cfc3,,ratio,Ratio,ratio,unknown,lx_units,ratio,
2026-09-04 06:36:56.681094+00:00,09bc6952-53e2-40b2-bdc2-6e7ba7b8ff2e,,dose,Dosierung(en),dose(s),unknown,lx_units,dose,
2026-09-04 06:36:56.681791+00:00,8903c64d-0de7-4ec2-aca9-014cd02dbcf9,,mililiter per minute per 1.73m^2,ml/min/1.73m²,ml/min/1.73m²,unknown,lx_units,ml/min/1.73m²,
2026-09-04 06:36:56.684329+00:00,336a38f8-58b5-49c5-ab2c-bfcf0e82a373,,beats_per_minute,Schläge pro Minute,Beats per minute,Frequency unit for heart rate.,lx_units,1/min,
2026-09-04 06:36:56.684363+00:00,e4d3de66-7f36-46dc-b40a-ee8edbf04429,,millimeter_mercury,Millimeter Quecksilbersäule,Millimetres of mercury,Pressure unit used for blood pressure.,lx_units,mmHg,
2026-09-04 06:36:56.684391+00:00,82bc9100-b189-4733-a437-b01da8593c3f,,liters_per_minute,Liter pro Minute,Litres per minute,Flow-rate unit used for supplemental oxygen.,lx_units,l/min,
2026-09-04 06:36:56.684409+00:00,28e3d05a-d02a-4987-a584-4e31b68de633,,milliliter,Milliliter,Millilitre,Volume unit used for intravenous fluids.,lx_units,ml,
2026-09-04 06:36:56.687468+00:00,9372657b-da91-42ee-a343-d08fe6862174,,seconds,Sekunden,Sekunden,unknown,lx_units,s,
2026-09-04 06:36:56.687502+00:00,f9b67461-a1a1-439c-b35b-833948021d15,,minutes,Minuten,Minutes,unknown,lx_units,min,
2026-09-04 06:36:56.687525+00:00,5c02b689-ca36-479f-92b7-b1021a515314,,hours,Stunden,Hours,unknown,lx_units,h,
2026-09-04 06:36:56.687544+00:00,015e5a3e-f9e9-416a-bdc4-9ba3d80ea8f9,,days,Tage,Days,unknown,lx_units,d,
2026-09-04 06:36:56.687562+00:00,78b54f24-2509-4c18-9bd9-0f82c2792e05,,weeks,Wochen,Weeks,unknown,lx_units,w,
2026-09-04 06:36:56.687580+00:00,c8f333b7-884c-4ebb-b485-d9eebc37a0db,,months,Monate,Months,unknown,lx_units,mo,
2026-09-04 06:36:56.687597+00:00,9cbf4b68-4d8a-4eae-b578-77b11ee4ca7c,,years,Jahre,Years,unknown,lx_units,y,
2026-09-04 06:36:56.689919+00:00,4521ed2b-1734-4a01-a9fe-19053c85520a,,femtoliter,Femtoliter,Femtolitre,femtoliters,lx_units,fl,
2026-09-04 06:36:56.689961+00:00,1ea27a23-9efa-4335-96bb-a4a8e5354d72,,mililiter,mililiter,mililiter,mililiters,lx_units,ml,
2026-09-04 06:36:56.689984+00:00,9510e26f-38ff-4e59-8271-33489c9ba661,,liter,Liter,Liter,liters,lx_units,l,
2026-09-04 06:36:56.690003+00:00,60e4c002-b72c-4218-bbcf-daff359edf2d,,cubic_meter,Kubikmeter,Cubic Meter,cubic meters,lx_units,m³,
2026-09-04 06:36:56.692626+00:00,97111b10-9ba4-4a40-92d0-3eacd841838f,,picogram,Picogramm,Picogram,unknown,lx_units,pg,
2026-09-04 06:36:56.692661+00:00,6c463b2c-2d91-4e05-9e34-0590f7e50f72,,microgram,Mikrogramm,Microgram,micrograms,lx_units,µg,
2026-09-04 06:36:56.692684+00:00,9c077437-97f2-470c-a9ef-6220b26af31c,,miligram,miligramm,miligram,miligrams,lx_units,mg,
2026-09-04 06:36:56.692703+00:00,a63fc366-02a6-4c7a-b1c2-31857d36f56a,,gram,Gramm,Gram,grams,lx_units,g,
2026-09-04 06:36:56.692720+00:00,a7f11d14-e42e-4e4e-8eed-9d7535d85ee6,,kilogram,Kilogramm,Kilogram,kilograms,lx_units,kg,
