created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,finding_types,classifications,interventions,caused_by_interventions
2026-09-04 06:36:56.512082+00:00,3c0a6e4b-77b8-4473-bd8a-099764083c49,,star_upper_gi_hiatal_hernia,unknown,unknown,Hiatal hernia measured as separation of the esophagogastric junction and hiatus.,star_upper_gi,,"distance_cm,additional_text_info",,
2026-09-04 06:36:56.512101+00:00,a6d4e278-0287-46d0-9819-c4518e2e4888,,star_upper_gi_stomach_varices,unknown,unknown,Gastric varices documented by location and Sarin classification.,star_upper_gi,,"star_upper_gi_stomach_varices_sarin,additional_text_info",,
2026-09-04 06:36:56.512120+00:00,eae6f979-5ce7-4091-8112-c65b0b4abf85,,star_upper_gi_duodenum_diverticulum,unknown,unknown,Duodenal diverticulum documented by location and estimated size.,star_upper_gi,,"size_oval_mm,star_upper_gi_location_duodenum,additional_text_info",,
2026-09-04 06:36:56.512138+00:00,29e0c5ce-971a-4420-a447-949a0307a98d,,star_upper_gi_papilla_suspected_adenoma,unknown,unknown,Visible major papilla with an appearance suspicious for adenoma.,star_upper_gi,,"star_upper_gi_location_duodenum,size_oval_mm,additional_text_info",,
2026-09-04 06:36:56.560480+00:00,752342f4-f486-4adb-a3ab-5ba64d681b0e,,star_upper_gi_mucosa_esophagus_abnormal,unknown,unknown,Dokumentierter Normalitäts- beziehungsweise Auffälligkeitsstatus der Ösophagusmukosa.,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560535+00:00,833c0539-7bbc-4182-98f8-d4f357e4937a,,star_upper_gi_mucosa_esophagus_status,unknown,unknown,"Structured normal, abnormal, or not-visualized status of the esophageal mucosa.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560559+00:00,6a006911-d47f-44b6-951f-dcdeba862c5e,,star_upper_gi_location_esophagogastric_junction,unknown,unknown,Endoskopisch bestimmte Distanz des gastroösophagealen Übergangs ab Zahnreihe.,star_upper_gi,,distance_cm,,
2026-09-04 06:36:56.560579+00:00,0be7f5e3-f344-42d6-b97d-31597b0d356b,,star_upper_gi_location_hiatus,unknown,unknown,Endoskopisch bestimmte Distanz des Hiatus ab Zahnreihe.,star_upper_gi,,distance_cm,,
2026-09-04 06:36:56.560598+00:00,81ecb645-dc8b-4684-8b1c-59d36f769817,,star_upper_gi_location_squamocolumnar_junction,unknown,unknown,Endoskopisch bestimmte Distanz der Z-Linie ab Zahnreihe.,star_upper_gi,,distance_cm,,
2026-09-04 06:36:56.560617+00:00,e5aaaddd-ee3e-4818-89b3-df99c43428c0,,star_upper_gi_imaging_modality_esophagus,unknown,unknown,Für die standardisierte Inspektion des Ösophagus eingesetzte Bildgebungsmodalität.,star_upper_gi,,upper_gi_esophagus_imaging_modality_classification,,
2026-09-04 06:36:56.560636+00:00,f223a7c7-fb70-4be9-87cb-f224a4e6c980,,star_upper_gi_mucosa_stomach_abnormal,unknown,unknown,Dokumentierter Normalitäts- beziehungsweise Auffälligkeitsstatus der Magenmukosa.,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560654+00:00,0f71daf0-5ef3-4794-b4b0-b563d111a03d,,star_upper_gi_mucosa_stomach_cardia_status,unknown,unknown,"Normal, abnormal, or not-visualized status of the cardia mucosa.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560673+00:00,1b8e60c4-9c90-4afa-a54e-d5f86965c7d9,,star_upper_gi_mucosa_stomach_corpus_fundus_status,unknown,unknown,"Normal, abnormal, or not-visualized status of the corpus and fundus mucosa.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560693+00:00,20aeab6e-23e7-413c-aa96-f55668e8c4b2,,star_upper_gi_mucosa_stomach_antrum_incisura_status,unknown,unknown,"Normal, abnormal, or not-visualized status of the antrum and incisura mucosa.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560711+00:00,c0df47fd-d9b8-44d9-b495-60ba71cf6f55,,star_upper_gi_chromoendoscopy_stomach,unknown,unknown,Whether dye-based or virtual chromoendoscopy was used in the stomach.,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560729+00:00,33628132-38c1-40f5-8eef-8692c470a94c,,star_upper_gi_mucosa_duodenum_abnormal,unknown,unknown,Dokumentierter Normalitäts- beziehungsweise Auffälligkeitsstatus der Duodenalmukosa.,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560747+00:00,55d0941c-7b77-4a65-97b4-77d7d85fc914,,star_upper_gi_mucosa_duodenum_bulb_status,unknown,unknown,"Normal, abnormal, or not-visualized status of the duodenal bulb mucosa.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560765+00:00,afbf326d-0056-45bc-bfe2-6efedfbe1bd4,,star_upper_gi_mucosa_duodenum_second_portion_status,unknown,unknown,"Normal, abnormal, or not-visualized status of the second duodenal portion.",star_upper_gi,,star_upper_gi_mucosal_status,,
2026-09-04 06:36:56.560783+00:00,ddcf5ecb-8c75-44a0-b550-d8c043fc81a7,,star_upper_gi_vili_duodenum_atrophic,unknown,unknown,Whether the duodenal villi appear normal or atrophic.,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560801+00:00,820f8a5b-8b14-43ef-baf0-f2964cf2232d,,star_upper_gi_papilla_major_visualized,unknown,unknown,unknown,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.560820+00:00,cbb82301-e0fb-4c1a-af2d-6c12d2b484d8,,star_upper_gi_papilla_major_status,unknown,unknown,"Normal, suspected adenoma, or not-visualized status of the major papilla.",star_upper_gi,,star_upper_gi_papilla_status,,
2026-09-04 06:36:56.560839+00:00,55f63f88-7ae9-4299-a739-ef98dc2e5bbd,,star_upper_gi_papilla_minor_visualized,unknown,unknown,unknown,star_upper_gi,,yes_no_unknown_classification,,
2026-09-04 06:36:56.584656+00:00,cb73d921-77f1-4516-9f84-96e7195e4866,,star_upper_gi_exam_date,unknown,unknown,unknown,star_upper_gi,"preprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584706+00:00,ef4b9dec-df6c-4db0-80f8-3a0fa37de905,,star_upper_gi_patient_name,unknown,unknown,Patient identity concept; host applications should source it from the typed patient record.,star_upper_gi,"preprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584732+00:00,72bc0515-a383-46d5-b80c-2ea3b2a33a29,,star_upper_gi_patient_date_of_birth,unknown,unknown,Patient date-of-birth concept; host applications should source it from the typed patient record.,star_upper_gi,"preprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584752+00:00,c2583a0e-5946-488f-85c3-9e162ab0b495,,star_upper_gi_exam_indication,unknown,unknown,Clinical indication for the upper gastrointestinal endoscopy.,star_upper_gi,"preprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584772+00:00,60576ea1-6a9a-41bc-b5c1-be6f988da045,,star_upper_gi_antithrombotic_use,unknown,unknown,"Whether the patient is taking antiplatelets, anticoagulants, or heparins.",star_upper_gi,"preprocedure,mandatory",yes_no_unknown_classification,,
2026-09-04 06:36:56.584792+00:00,8531a613-85e6-4c77-8fce-33508ce2346e,,star_upper_gi_antithrombotic_agent,unknown,unknown,Name of each antithrombotic agent taken by the patient.,star_upper_gi,"preprocedure,conditonal",star_upper_gi_text,,
2026-09-04 06:36:56.584811+00:00,fee80672-a4fc-47fc-b540-3273e30d5920,,star_upper_gi_antithrombotic_management,unknown,unknown,"Whether antithrombotic therapy remained active or was interrupted, including when.",star_upper_gi,"preprocedure,conditonal","star_upper_gi_antithrombotic_management,star_upper_gi_text",,
2026-09-04 06:36:56.584831+00:00,c6ddc2fe-ef76-4c7d-8e3d-97e9460a32b5,,star_upper_gi_fasting_solids,unknown,unknown,"Fasting time for solid food, recorded in minutes.",star_upper_gi,"preprocedure,mandatory",star_upper_gi_duration_minutes,,
2026-09-04 06:36:56.584850+00:00,1688c38a-963d-407c-b63d-900a71ef03ba,,star_upper_gi_fasting_liquids,unknown,unknown,"Fasting time for liquids, recorded in minutes.",star_upper_gi,"preprocedure,mandatory",star_upper_gi_duration_minutes,,
2026-09-04 06:36:56.584869+00:00,1f81eded-b815-4239-b617-ad8f2ceb68e3,,star_upper_gi_premedication,unknown,unknown,"Premedication such as simethicone, N-acetylcysteine, or another agent.",star_upper_gi,"preprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584888+00:00,059a4cee-5e8f-4b25-98a0-cbc5a92d9f5e,,star_upper_gi_drugs_during_endoscopy,unknown,unknown,"Drugs administered during endoscopy, including topical anesthesia, sedation, adjuncts, and reversal agents.",star_upper_gi,"periprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584907+00:00,4e9395f3-a854-49e0-9ea7-6f1b38bbdd30,,star_upper_gi_endoscope_type,unknown,unknown,Endoscope type and relevant imaging technology or traceability identifier.,star_upper_gi,"periprocedure,mandatory",star_upper_gi_text,,
2026-09-04 06:36:56.584933+00:00,240fbdb3-9b83-46b9-8ffe-0793870aba9f,,star_upper_gi_cleanliness_assessment,unknown,unknown,"Named GRACE, PEACE, or Barcelona scale with segment and total scores.",star_upper_gi,"periprocedure,mandatory","star_upper_gi_cleanliness_scale,star_upper_gi_cleanliness_total_0_9,star_upper_gi_cleanliness_total_0_10",,
2026-09-04 06:36:56.584957+00:00,7659c747-54fa-4da3-91a7-09f098cbceb8,,star_upper_gi_cleanliness_esophagus,unknown,unknown,Mucosal cleanliness score for the esophagus.,star_upper_gi,"periprocedure,mandatory","star_upper_gi_grace_segment_score,star_upper_gi_peace_segment_score,star_upper_gi_barcelona_segment_score",,
2026-09-04 06:36:56.584977+00:00,768f4e7e-8794-4659-a322-e74476e4d82f,,star_upper_gi_cleanliness_stomach,unknown,unknown,Combined mucosal cleanliness score for the stomach when GRACE or PEACE is used.,star_upper_gi,"periprocedure,mandatory","star_upper_gi_grace_segment_score,star_upper_gi_peace_segment_score",,
2026-09-04 06:36:56.584996+00:00,d375144f-ee00-42c2-b7d2-1a2b1b2250d1,,star_upper_gi_cleanliness_gastric_fundus,unknown,unknown,Mucosal cleanliness score for the gastric fundus when the Barcelona scale is used.,star_upper_gi,"periprocedure,optional",star_upper_gi_barcelona_segment_score,,
2026-09-04 06:36:56.585014+00:00,ec90cf0d-6525-4ed8-8c03-50d8360bed32,,star_upper_gi_cleanliness_gastric_corpus,unknown,unknown,Mucosal cleanliness score for the gastric corpus when the Barcelona scale is used.,star_upper_gi,"periprocedure,optional",star_upper_gi_barcelona_segment_score,,
2026-09-04 06:36:56.585033+00:00,12a65fa1-bd04-4afa-9129-4dec180db039,,star_upper_gi_cleanliness_gastric_antrum,unknown,unknown,Mucosal cleanliness score for the gastric antrum when the Barcelona scale is used.,star_upper_gi,"periprocedure,optional",star_upper_gi_barcelona_segment_score,,
2026-09-04 06:36:56.585051+00:00,154929eb-1c9c-4f93-be12-b5a1aa172198,,star_upper_gi_cleanliness_duodenum,unknown,unknown,Mucosal cleanliness score for the duodenum.,star_upper_gi,"periprocedure,mandatory","star_upper_gi_grace_segment_score,star_upper_gi_peace_segment_score,star_upper_gi_barcelona_segment_score",,
2026-09-04 06:36:56.585069+00:00,9912651a-fd94-43b0-b775-8cee6a0a226f,,star_upper_gi_previous_surgery_reconstruction,unknown,unknown,"Type of previous upper-GI surgery and reconstruction, when applicable.",star_upper_gi,,star_upper_gi_text,,
2026-09-04 06:36:56.585089+00:00,957572d0-7dba-4813-8825-437c428f7308,,star_upper_gi_biopsy_documentation,unknown,unknown,Random or targeted biopsy with location and number of samples for each area.,star_upper_gi,"postprocedure,mandatory","star_upper_gi_biopsy_type,star_upper_gi_location_classification,star_upper_gi_count,additional_text_info",star_upper_gi_biopsy_performed,
2026-09-04 06:36:56.585108+00:00,20bed384-2f86-4ee6-a390-6e0dd6839b67,,star_upper_gi_histology_vials,unknown,unknown,Number of vials and specification of the specimens in each vial.,star_upper_gi,"postprocedure,mandatory","star_upper_gi_count,star_upper_gi_text",,
2026-09-04 06:36:56.585138+00:00,e1a1e5d2-4891-4618-9e98-b8bb968a16df,,star_upper_gi_photodocumentation,unknown,unknown,Photographs of normal landmarks and at least one image of every abnormal finding.,star_upper_gi,"postprocedure,mandatory","star_upper_gi_photo_landmark,star_upper_gi_count",,
2026-09-04 06:36:56.585157+00:00,c0ef8782-6daa-49ea-b65c-5bd44382289b,,star_upper_gi_exam_duration,unknown,unknown,Total time from intubation to extubation.,star_upper_gi,"postprocedure,mandatory",star_upper_gi_duration_minutes,,
2026-09-04 06:36:56.585175+00:00,6f648e86-0d80-4f49-9069-a36f1a95f23e,,star_upper_gi_staff_and_roles,unknown,unknown,Names and roles of all staff involved in the procedure.,star_upper_gi,"postprocedure,mandatory",star_upper_gi_text,,
