created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,classification_choice_descriptors
2026-01-20 12:47:52.128025+00:00,b5661177-c820-4b6c-9a93-c20ae2fdc7ab,,star_upper_gi_location_gastroesophageal_junction,Gastroösophagealer Übergang,Gastroesophageal junction,unknown,star_upper_gi,distance_cm
2026-01-20 12:47:52.128046+00:00,7ee5472b-5d59-48f1-b025-881362b53ff4,,star_upper_gi_location_stomach_fundus,Magen (Fundus),Stomach (Fundus),unknown,star_upper_gi,
2026-01-20 12:47:52.128064+00:00,518e7f2e-b871-4ca4-9635-16ddf85fd43c,,star_upper_gi_location_stomach_corpus,Magen (Corpus),Stomach (Corpus),unknown,star_upper_gi,
2026-01-20 12:47:52.128082+00:00,bee9d755-c80e-4027-8b96-e81796e2e8e0,,star_upper_gi_location_stomach_antrum,Magen (Antrum),Stomach (Antrum),unknown,star_upper_gi,
2026-01-20 12:47:52.128100+00:00,0aaccde3-9604-4a8d-b6b7-6c2be4dd5909,,star_upper_gi_location_stomach_cardia,Magen (Kardia),Stomach (Cardia),unknown,star_upper_gi,
2026-01-20 12:47:52.128118+00:00,f2e62e8e-5bfe-4a5d-89ee-7022246c0e70,,star_upper_gi_location_stomach_pylorus,Magen (Pylorus),Stomach (Pylorus),unknown,star_upper_gi,
2026-01-20 12:47:52.128135+00:00,3ad979b8-2013-4a5b-8cd0-61f35f93a30c,,star_upper_gi_location_duodenum_bulbus,Duodenum (Bulbus),Duodenum (Bulbus),unknown,star_upper_gi,
2026-01-20 12:47:52.128154+00:00,bed9afa8-3b11-47e1-b693-95e46f9b585f,,star_upper_gi_location_duodenum_descending_part,Duodenum (Pars descendens),Duodenum (Descending part),unknown,star_upper_gi,
2026-01-20 12:47:52.128171+00:00,98b2e463-5f54-4eb7-b159-8022505f5514,,star_upper_gi_location_papilla_major,Papilla duodeni major,Major duodenal papilla,unknown,star_upper_gi,
2026-01-20 12:47:52.128189+00:00,11596ae2-2d04-45dc-8af3-19ffa6285545,,star_upper_gi_location_papilla_minor,Papilla duodeni minor,Minor duodenal papilla,unknown,star_upper_gi,
2026-01-20 12:47:52.131052+00:00,ae07ec90-d5c7-416a-9c36-82ddf9201221,,yes,unknown,unknown,unknown,star_upper_gi,
2026-01-20 12:47:52.131081+00:00,70f429cd-f44f-43c6-8891-67e37e60b8af,,no,unknown,unknown,unknown,star_upper_gi,
2026-01-20 12:47:52.131102+00:00,0473e0a3-0b88-4296-b1d1-64005dda9f20,,unknown,unknown,unknown,unknown,star_upper_gi,
